"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 25, 2017","16.390","16.435","16.435","16.365","-","0.20%"
"Dec 22, 2017","16.357","16.140","16.320","16.140","0.19K","1.27%"
"Dec 21, 2017","16.152","16.095","16.120","16.095","0.05K","-0.22%"
"Dec 20, 2017","16.188","16.095","16.175","16.095","0.02K","0.76%"
"Dec 19, 2017","16.066","16.160","16.160","16.080","0.02K","-0.33%"
"Dec 18, 2017","16.120","15.980","16.075","15.980","0.05K","0.31%"
"Dec 17, 2017","16.070","16.075","16.090","16.060","-","0.58%"
"Dec 15, 2017","15.978","16.010","16.010","15.955","0.37K","0.81%"
"Dec 14, 2017","15.850","16.000","16.000","15.800","0.03K","0.42%"
"Dec 13, 2017","15.784","15.640","15.995","15.620","0.19K","1.30%"
"Dec 12, 2017","15.582","15.665","15.700","15.555","0.20K","-0.73%"
"Dec 11, 2017","15.697","15.775","15.800","15.625","0.08K","-1.06%"
"Dec 10, 2017","15.865","15.850","15.880","15.850","-","0.82%"
"Dec 08, 2017","15.736","15.675","15.765","15.655","0.08K","0.13%"
"Dec 07, 2017","15.715","15.880","15.885","15.600","0.17K","-0.96%"
"Dec 06, 2017","15.868","16.040","16.050","15.870","0.21K","-0.66%"
"Dec 05, 2017","15.973","16.250","16.280","15.980","0.08K","-1.91%"
"Dec 04, 2017","16.284","16.310","16.340","16.190","0.89K","-0.77%"
"Dec 03, 2017","16.410","16.350","16.435","16.340","-","0.69%"
"Dec 01, 2017","16.297","16.385","16.485","16.200","0.52K","-0.52%"
"Nov 30, 2017","16.382","16.480","16.520","16.285","1.59K","-0.46%"
"Nov 29, 2017","16.457","16.810","16.865","16.450","22.56K","-2.11%"
"Nov 28, 2017","16.811","17.020","17.025","17.020","0.00K","-1.16%"
"Nov 27, 2017","17.009","17.020","17.020","17.020","0.00K","0.00%"
"Nov 26, 2017","17.009","17.025","17.025","16.998","-","0.16%"
"Nov 24, 2017","16.981","16.990","16.990","16.990","0.00K","-0.67%"
"Nov 23, 2017","17.096","17.096","17.157","17.067","-","-0.03%"
"Nov 22, 2017","17.101","17.101","17.101","17.101","-","0.90%"
"Nov 21, 2017","16.949","16.930","16.930","16.930","0.00K","0.73%"
"Nov 20, 2017","16.827","16.827","16.827","16.827","-","-2.54%"
"Nov 19, 2017","17.266","17.289","17.302","17.249","-","-0.53%"
"Nov 17, 2017","17.358","17.125","17.305","17.125","0.00K","1.77%"
"Nov 16, 2017","17.056","16.950","16.970","16.950","0.01K","0.63%"
"Nov 15, 2017","16.950","16.940","16.940","16.940","0.00K","-0.60%"
"Nov 14, 2017","17.052","16.905","16.905","16.905","0.00K","0.17%"
"Nov 13, 2017","17.023","16.840","17.010","16.840","0.00K","0.72%"
"Nov 12, 2017","16.902","16.872","16.911","16.864","-","0.34%"
"Nov 10, 2017","16.844","17.000","17.000","17.000","0.00K","-0.58%"
"Nov 09, 2017","16.943","16.930","16.930","16.930","0.00K","-0.95%"
"Nov 08, 2017","17.106","17.106","17.106","17.106","0.01K","1.19%"
"Nov 07, 2017","16.905","16.925","16.925","16.925","0.00K","-1.69%"
"Nov 06, 2017","17.195","17.205","17.225","17.205","0.01K","1.98%"
"Nov 05, 2017","16.861","16.851","16.869","16.816","-","0.40%"
"Nov 03, 2017","16.794","17.105","17.105","16.790","0.01K","-1.75%"
"Nov 02, 2017","17.094","17.065","17.065","17.060","0.02K","-0.22%"
"Nov 01, 2017","17.132","16.990","17.060","16.990","0.03K","2.93%"
"Oct 31, 2017","16.645","16.795","16.795","16.650","0.30K","-0.93%"
"Oct 30, 2017","16.802","16.715","16.845","16.715","0.12K","-0.21%"
"Oct 29, 2017","16.838","16.861","16.861","16.817","-","0.81%"
"Oct 27, 2017","16.702","16.702","16.702","16.702","0.00K","-0.37%"
"Oct 26, 2017","16.764","16.764","16.764","16.764","0.06K","-0.62%"
"Oct 25, 2017","16.868","16.868","16.868","16.868","0.03K","-0.23%"
"Oct 24, 2017","16.907","16.890","16.945","16.890","0.06K","-0.69%"
"Oct 23, 2017","17.024","16.920","16.920","16.870","0.02K","0.16%"
"Oct 22, 2017","16.996","17.044","17.044","16.979","-","-0.15%"
"Oct 20, 2017","17.022","17.170","17.170","16.990","0.02K","-1.04%"
"Oct 19, 2017","17.201","16.990","17.220","16.990","0.01K","1.52%"
"Oct 18, 2017","16.943","16.943","16.943","16.943","0.01K","-0.26%"
"Oct 17, 2017","16.987","17.000","17.010","17.000","0.06K","-1.89%"
"Oct 16, 2017","17.315","17.420","17.430","17.280","0.03K","-0.76%"
"Oct 15, 2017","17.447","17.421","17.449","17.403","-","0.53%"
"Oct 13, 2017","17.355","17.215","17.380","17.215","0.07K","0.84%"
"Oct 12, 2017","17.211","17.205","17.220","17.205","0.04K","0.76%"
"Oct 11, 2017","17.081","17.145","17.200","17.065","0.05K","-0.43%"
"Oct 10, 2017","17.155","16.935","17.165","16.925","0.03K","1.41%"
"Oct 09, 2017","16.916","16.865","16.930","16.865","0.00K","0.48%"
"Oct 08, 2017","16.835","16.817","16.862","16.812","-","0.60%"
"Oct 06, 2017","16.734","16.590","16.710","16.430","0.02K","0.92%"
"Oct 05, 2017","16.582","16.650","16.710","16.620","0.02K","0.11%"
"Oct 04, 2017","16.563","16.645","16.820","16.515","0.05K","-0.11%"
"Oct 03, 2017","16.581","16.530","16.585","16.530","0.04K","-0.02%"
"Oct 02, 2017","16.585","16.595","16.635","16.525","0.02K","-0.35%"
"Oct 01, 2017","16.644","16.660","16.670","16.621","-","0.22%"
"Sep 29, 2017","16.607","16.810","16.810","16.715","0.02K","-0.99%"
"Sep 28, 2017","16.773","16.750","16.830","16.655","0.18K","0.15%"
"Sep 27, 2017","16.748","16.700","16.815","16.695","0.04K","-0.33%"
